sizeof(XXX)	libc-2.18-x64	libc-2.18-i686	libc-2.17-x32	libc-2.9-nacl-x64	libc-2.9-nacl-i686
__pthread_cleanup_frame	24 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
__pthread_internal_list	16 (struct)	???	8 (struct)	8 (struct)	???
__pthread_internal_slist	???	4 (struct)	???	???	4 (struct)
__pthread_list_t	16 (__pthread_internal_list)	???	8 (__pthread_internal_list)	8 (__pthread_internal_list)	???
__pthread_mutex_s	40 (struct)	24 (struct)	32 (struct)	32 (struct)	24 (struct)
__pthread_slist_t	???	4 (__pthread_internal_slist)	???	???	4 (__pthread_internal_slist)
__pthread_unwind_buf_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__ptrace_request	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__quad_t	8 (long int)	8 (long long int)	8 (long long int)	8 (???)	8 (???)
__res_state	568 (struct)	512 (struct)	512 (struct)	512 (struct)	512 (struct)
__rlim64_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	???	???
__rlimit_resource	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__rlimit_resource_t	4 (__rlimit_resource)	4 (__rlimit_resource)	4 (__rlimit_resource)	???	???
__rlim_t	8 (long unsigned int)	4 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__rtld_lock_recursive_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__rusage_who	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__sigchld_clock_t	8 (long int)	4 (long int)	8 (long long int)	???	???
__sighandler_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__sigset_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__size_t	8 (long unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__SOCKADDR_ARG	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__socket_type	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__socklen_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__spawn_action	32 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
__ssize_t	8 (long int)	4 (int)	4 (int)	4 (int)	4 (int)
__strptime_state	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
__str_list	???	???	???	12 (struct)	12 (struct)
__suseconds_t	8 (long int)	4 (long int)	8 (long long int)	4 (long int)	4 (long int)
__syscall_slong_t	8 (long int)	4 (long int)	8 (long long int)	???	???
__syscall_ulong_t	8 (long unsigned int)	4 (long unsigned int)	8 (long long unsigned int)	???	???
__sysctl_args	80 (struct)	40 (struct)	???	40 (struct)	40 (struct)
__time_t	8 (long int)	4 (long int)	8 (long long int)	8 (???)	8 (???)
__u16	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
__u32	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__u8	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)
__uid_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__uint16_t	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
__uint32_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__uint64_t	8 (long unsigned int)	???	8 (long long unsigned int)	8 (long long unsigned int)	???
__useconds_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__u_char	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)
__u_int	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__u_long	8 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)
__u_quad_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__u_short	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
__v16qi	8 (char[])	???	4 (char[])	???	???
__v2di	???	???	4 (long long int[])	???	???
__v4si	???	???	4 (int[])	???	???
__va_list_tag	24 (struct)	???	16 (struct)	16 (struct)	16 (struct)
__vlimit_resource	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__WAIT_STATUS	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
____libc_atexit_hook_function_t	??? (<func>)	??? (<func>)	??? (<func>)	???	???
____libc_subfreeres_hook_function_t	??? (<func>)	??? (<func>)	??? (<func>)	???	???
____libc_thread_subfreeres_hook_function_t	??? (<func>)	??? (<func>)	??? (<func>)	???	???
???	???	???	???	8 (basic)	8 (basic)
